"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","2"
"49858-49858","49858","49858","2"
"49870-49870","49870","49870","2"
"49876-49876","49876","49876","2"
"49938-49938","49938","49938","2"
"50001-50399","50001","50399","4"
"50401-50499","50401","50499","3"
"50501-50599","50501","50599","4"
"50601-50799","50601","50799","3"
"50801-51699","50801","51699","4"
"52001-52499","52001","52499","3"
"52501-52699","52501","52699","4"
"52701-52899","52701","52899","3"
"53001-53299","53001","53299","3"
"53401-53599","53401","53599","3"
"53701-53899","53701","53899","3"
"53901-54999","53901","54999","2"
"55001-55199","55001","55199","3"
"55301-55599","55301","55599","3"
"55601-55899","55601","55899","2"
"55901-56099","55901","56099","3"
"56101-56199","56101","56199","4"
"56201-56499","56201","56499","3"
"56501-56599","56501","56599","4"
"56601-56699","56601","56699","3"
"56701-56799","56701","56799","4"
"57001-57699","57001","57699","4"
"57701-57799","57701","57799","5"
"58001-58599","58001","58599","4"
"58601-58699","58601","58699","5"
"58701-58799","58701","58799","4"
"58801-58899","58801","58899","5"
"60001-61399","60001","61399","3"
"61401-62099","61401","62099","4"
"62201-62999","62201","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","5"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
