"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-50999","50001","50999","2"
"51001-51299","51001","51299","3"
"51301-51499","51301","51499","2"
"51501-51699","51501","51699","3"
"52001-52899","52001","52899","2"
"53001-53299","53001","53299","3"
"53401-53499","53401","53499","3"
"53501-53599","53501","53599","2"
"53701-53999","53701","53999","2"
"54001-54599","54001","54599","3"
"54601-54699","54601","54699","2"
"54701-54999","54701","54999","3"
"55001-55199","55001","55199","3"
"55301-55899","55301","55899","3"
"55901-56099","55901","56099","2"
"56101-56499","56101","56499","3"
"56501-56799","56501","56799","4"
"57001-57299","57001","57299","3"
"57301-57799","57301","57799","4"
"58001-58799","58001","58799","4"
"58801-58899","58801","58899","5"
"60001-60599","60001","60599","3"
"60601-60699","60601","60699","4"
"60701-60999","60701","60999","3"
"61001-61299","61001","61299","2"
"61301-61399","61301","61399","3"
"61401-61699","61401","61699","2"
"61701-62099","61701","62099","3"
"62201-62299","62201","62299","4"
"62301-62899","62301","62899","3"
"62901-62999","62901","62999","4"
"63001-63199","63001","63199","3"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","3"
"68301-68799","68301","68799","3"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
