"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50799","50001","50799","3"
"50801-50899","50801","50899","2"
"50901-51499","50901","51499","3"
"51501-51699","51501","51699","2"
"52001-52899","52001","52899","3"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","4"
"53701-53799","53701","53799","4"
"53801-53899","53801","53899","3"
"53901-54999","53901","54999","4"
"55001-55199","55001","55199","4"
"55301-56099","55301","56099","4"
"56101-56199","56101","56199","3"
"56201-56699","56201","56699","4"
"56701-56799","56701","56799","5"
"57001-57799","57001","57799","4"
"58001-58299","58001","58299","4"
"58301-58399","58301","58399","5"
"58401-58599","58401","58599","4"
"58601-58899","58601","58899","5"
"60001-61199","60001","61199","4"
"61201-61299","61201","61299","3"
"61301-61399","61301","61399","4"
"61401-61799","61401","61799","3"
"61801-61999","61801","61999","4"
"62001-62099","62001","62099","3"
"62201-62399","62201","62399","3"
"62401-62499","62401","62499","4"
"62501-62999","62501","62999","3"
"63001-63199","63001","63199","3"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","2"
"66101-66299","66101","66299","2"
"68001-68099","68001","68099","2"
"68101-68199","68101","68199","3"
"68301-68499","68301","68499","2"
"68501-68799","68501","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
