"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50099","50001","50099","4"
"50101-50499","50101","50499","3"
"50501-50599","50501","50599","4"
"50601-50799","50601","50799","3"
"50801-50899","50801","50899","4"
"50901-50999","50901","50999","3"
"51001-51399","51001","51399","4"
"51401-51499","51401","51499","3"
"51501-51699","51501","51699","4"
"52001-52099","52001","52099","2"
"52101-52699","52101","52699","3"
"52701-52899","52701","52899","2"
"53001-53299","53001","53299","2"
"53401-53599","53401","53599","2"
"53701-53899","53701","53899","2"
"53901-53999","53901","53999","3"
"54001-54099","54001","54099","4"
"54101-54499","54101","54499","3"
"54501-54599","54501","54599","4"
"54601-54799","54601","54799","3"
"54801-54899","54801","54899","4"
"54901-54999","54901","54999","3"
"55001-55199","55001","55199","4"
"55301-55899","55301","55899","4"
"55901-55999","55901","55999","3"
"56001-56799","56001","56799","4"
"57001-57499","57001","57499","4"
"57501-57799","57501","57799","5"
"58001-58199","58001","58199","4"
"58201-58899","58201","58899","5"
"60001-61999","60001","61999","2"
"62001-62099","62001","62099","3"
"62201-62299","62201","62299","4"
"62301-62499","62301","62499","3"
"62501-62799","62501","62799","2"
"62801-62999","62801","62999","3"
"63001-63199","63001","63199","3"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","5"
"68818-68818","68818","68818","5"
"68822-68822","68822","68822","5"
"68826-68826","68826","68826","5"
"68845-68845","68845","68845","5"
"68847-68847","68847","68847","5"
"68848-68848","68848","68848","5"
"68849-68849","68849","68849","5"
"68850-68850","68850","68850","5"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","5"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
