"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-50699","50001","50699","3"
"50701-50799","50701","50799","2"
"50801-50999","50801","50999","3"
"51001-51299","51001","51299","4"
"51301-51499","51301","51499","3"
"51501-51699","51501","51699","4"
"52001-52499","52001","52499","2"
"52501-52599","52501","52599","3"
"52601-52899","52601","52899","2"
"53001-53299","53001","53299","2"
"53401-53599","53401","53599","2"
"53701-53999","53701","53999","2"
"54001-54599","54001","54599","3"
"54601-54699","54601","54699","2"
"54701-54899","54701","54899","3"
"54901-54999","54901","54999","2"
"55001-55199","55001","55199","3"
"55301-55399","55301","55399","4"
"55401-55599","55401","55599","3"
"55601-55899","55601","55899","4"
"55901-56099","55901","56099","3"
"56101-56799","56101","56799","4"
"57001-57699","57001","57699","4"
"57701-57799","57701","57799","5"
"58001-58499","58001","58499","4"
"58501-58899","58501","58899","5"
"60001-60199","60001","60199","3"
"60201-60399","60201","60399","2"
"60401-60499","60401","60499","3"
"60501-60599","60501","60599","2"
"60601-60699","60601","60699","3"
"60701-61799","60701","61799","2"
"61801-62099","61801","62099","3"
"62201-62899","62201","62899","3"
"62901-62999","62901","62999","4"
"63001-63199","63001","63199","3"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
