"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","5"
"49858-49858","49858","49858","5"
"49870-49870","49870","49870","5"
"49876-49876","49876","49876","5"
"49938-49938","49938","49938","5"
"50001-50999","50001","50999","4"
"51001-51199","51001","51199","3"
"51201-51499","51201","51499","4"
"51501-51699","51501","51699","3"
"52001-52899","52001","52899","4"
"53001-53299","53001","53299","5"
"53401-53499","53401","53499","5"
"53501-53599","53501","53599","4"
"53701-53799","53701","53799","5"
"53801-53899","53801","53899","4"
"53901-53999","53901","53999","5"
"54001-54099","54001","54099","4"
"54101-54599","54101","54599","5"
"54601-54899","54601","54899","4"
"54901-54999","54901","54999","5"
"55001-55199","55001","55199","4"
"55301-56799","55301","56799","4"
"57001-57199","57001","57199","3"
"57201-57299","57201","57299","4"
"57301-57399","57301","57399","3"
"57401-57499","57401","57499","4"
"57501-57599","57501","57599","3"
"57601-57699","57601","57699","4"
"57701-57799","57701","57799","3"
"58001-58899","58001","58899","4"
"60001-60999","60001","60999","5"
"61001-61699","61001","61699","4"
"61701-61999","61701","61999","5"
"62001-62099","62001","62099","4"
"62201-62399","62201","62399","4"
"62401-62499","62401","62499","5"
"62501-62799","62501","62799","4"
"62801-62999","62801","62999","5"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","3"
"68301-68799","68301","68799","3"
"68801-68803","68801","68803","2"
"68818-68818","68818","68818","2"
"68822-68822","68822","68822","2"
"68826-68826","68826","68826","2"
"68845-68845","68845","68845","2"
"68847-68847","68847","68847","2"
"68848-68848","68848","68848","2"
"68849-68849","68849","68849","2"
"68850-68850","68850","68850","2"
"68901-68902","68901","68902","2"
"68949-68949","68949","68949","2"
"68959-68959","68959","68959","2"
"69001-69001","69001","69001","2"
"69101-69101","69101","69101","2"
"69103-69103","69103","69103","2"
"69129-69129","69129","69129","2"
"69130-69130","69130","69130","2"
"69138-69138","69138","69138","2"
"69145-69145","69145","69145","2"
"69153-69153","69153","69153","2"
"69154-69154","69154","69154","2"
"69160-69160","69160","69160","2"
"69162-69162","69162","69162","2"
"69165-69165","69165","69165","2"
"69190-69190","69190","69190","2"
"69301-69301","69301","69301","3"
"69334-69334","69334","69334","3"
"69336-69336","69336","69336","3"
"69341-69341","69341","69341","3"
"69356-69356","69356","69356","3"
"69357-69357","69357","69357","3"
"69361-69361","69361","69361","3"
"69363-69363","69363","69363","3"
